"Data Import Template"
"Table:","Purchase Order"
""
""
"Notes:"
"Please do not change the template headings."
"First data column must be blank."
"If you are uploading new records, leave the ""name"" (ID) column blank."
"If you are uploading new records, ""Naming Series"" becomes mandatory, if present."
"Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish."
"For updating, you can update only selective columns."
"You can only upload upto 5000 records in one go. (may be less in some cases)"
""
"DocType:","Purchase Order","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","~","Purchase Order Item","po_details","","","","","","","","","","","","","","","","","","","","","","","","~","Purchase Taxes and Charges","other_charges","","","","","","","","","","~","Purchase Order Item Supplied","po_raw_material_details","","","","","","",""
"Column Labels:","ID","Series","Supplier","Date","Company","Currency","Exchange Rate","Status","Fiscal Year","Name","Buy Back Requisition Ref","warehouse","IMEI No","Colour","Paper Voucher Pin","Amended From","Price List","Price List Currency","Price List Exchange Rate","Ignore Pricing Rule","Net Total (Company Currency)","Net Total","Taxes and Charges","Taxes and Charges Added (Company Currency)","Taxes and Charges Deducted (Company Currency)","Total Tax (Company Currency)","Grand Total (Company Currency)","In Words (Company Currency)","Rounded Total (Company Currency)","Advance Paid","Taxes and Charges Added","Taxes and Charges Deducted","Grand Total","In Words","Terms","Terms and Conditions","Supplier Address","Contact Person","Is Subcontracted","Letter Head","Print Heading","% Received","% Billed","Is Recurring","Recurring Type","From Date","To Date","Repeat on Day of Month","End Date","Next Date","Recurring Id","Notification Email Address","","ID","Item Code","Item Name","Reqd By Date","Description","Quantity","UOM","Stock UOM","UOM Conversion Factor","Rate (Company Currency)","Amount (Company Currency)","Price List Rate","Discount %","Price List Rate (Company Currency)","Rate ","Amount","Pricing Rule","Warehouse","Project Name","Material Request No","Supplier Quotation","Qty as per Stock UOM","Received Qty","Billed Amt","Page Break","","ID","Consider Tax or Charge for","Add or Deduct","Type","Description","Account Head","Reference Row #","Cost Center","Rate","Amount","Total","","ID","Reference Name","BOM Detail No","Item Code","Raw Material Item Code","Required Qty","Rate","Amount","Stock Uom"
"Column Name:","name","naming_series","supplier","transaction_date","company","currency","conversion_rate","status","fiscal_year","supplier_name","buy_back_requisition_ref","warehouse","imei_number","colour","paper_voucher_pin","amended_from","buying_price_list","price_list_currency","plc_conversion_rate","ignore_pricing_rule","net_total","net_total_import","taxes_and_charges","other_charges_added","other_charges_deducted","total_tax","grand_total","in_words","rounded_total","advance_paid","other_charges_added_import","other_charges_deducted_import","grand_total_import","in_words_import","tc_name","terms","supplier_address","contact_person","is_subcontracted","letter_head","select_print_heading","per_received","per_billed","is_recurring","recurring_type","from_date","to_date","repeat_on_day_of_month","end_date","next_date","recurring_id","notification_email_address","~","name","item_code","item_name","schedule_date","description","qty","uom","stock_uom","conversion_factor","base_rate","base_amount","price_list_rate","discount_percentage","base_price_list_rate","rate","amount","pricing_rule","warehouse","project_name","prevdoc_docname","supplier_quotation","stock_qty","received_qty","billed_amt","page_break","~","name","category","add_deduct_tax","charge_type","description","account_head","row_id","cost_center","rate","tax_amount","total","~","name","reference_name","bom_detail_no","main_item_code","rm_item_code","required_qty","rate","amount","stock_uom"
"Mandatory:","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","","Yes","No","No","No","No","No","No","No","No"
"Type:","Data (text)","Select","Link","Date","Link","Link","Float","Select","Link","Data","Link","Link","Data","Data","Data","Link","Link","Link","Float","Check","Currency","Currency","Link","Currency","Currency","Currency","Currency","Data","Currency","Currency","Currency","Currency","Currency","Data","Link","Text Editor","Link","Link","Select","Link","Link","Percent","Percent","Check","Select","Date","Date","Int","Date","Date","Data","Small Text","","Data","Link","Data","Date","Small Text","Float","Link","Link","Float","Currency","Currency","Currency","Percent","Currency","Currency","Currency","Link","Link","Link","Link","Link","Float","Float","Currency","Check","","Data","Select","Select","Select","Small Text","Link","Data","Link","Float","Currency","Currency","","Data","Data","Data","Data","Data","Float","Currency","Currency","Link"
"Info:","","One of: PO-BB-","Valid Supplier","","Valid Company","Valid Currency","","One of: Draft, Submitted, Stopped, Cancelled","Valid Fiscal Year","","Valid Buy Back Requisition","Valid Warehouse","","","","Valid Purchase Order","Valid Price List","Valid Currency","","0 or 1","","","Valid Purchase Taxes and Charges Master","","","","","","","","","","","","Valid Terms and Conditions","","Valid Address","Valid Contact","One of: Yes, No","Valid Letter Head","Valid Print Heading","","","0 or 1","One of: Monthly, Quarterly, Half-yearly, Yearly","","","Integer","","","","","","Leave blank for new records","Valid Item","","","","","Valid UOM","Valid UOM","","","","","","","","","Valid Pricing Rule","Valid Warehouse","Valid Project","Valid Material Request","Valid Supplier Quotation","","","","0 or 1","","Leave blank for new records","One of: Valuation and Total, Valuation, Total","One of: Add, Deduct","One of: Actual, On Net Total, On Previous Row Amount, On Previous Row Total","","Valid Account","","Valid Cost Center","","","","","Leave blank for new records","","","","","","","","Valid UOM"
"Start entering data below this line"
"","""PO-00001""","PO-","Priya ","2015-01-30","Matrix","NGN",1.0,"Draft","2015","Priya ","","","","","","","Standard Buying","NGN",1.0,0,0.0,0.0,"",0.0,0.0,0.0,0.0,"",0.0,"",0.0,0.0,0.0,"","","","","","No","","","","",0,"Monthly","","","","","","","","","""POD/00020""","Nokia","Nokia","2015-01-30","Nokia",1.0,"Nos","Nos",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"","Stores - M","","","",1.0,0.0,0.0,0,"","","","","","","","","","","","","","","","","","","","","",""
"","""PO-BB-00092""","PO-BB-","Slot buy back program","2015-02-27","Matrix","NGN",1.0,"Submitted","2015","Slot buy back program","BBR00117","Nokia warehouse - M","","","VD00009","","Standard Buying","NGN",1.0,0,45000.0,45000.0,"",0.0,0.0,0.0,45000.0,"NGN Forty-Five Thousand only.",45000.0,"",0.0,0.0,45000.0,"NGN Forty-Five Thousand only.","","","","","No","","",100.0,"",0,"Monthly","","","","","","","","","""POD/00109""","Black Berry","Black Berry","2015-02-27","Black Berry",1.0,"Nos","Nos",1.0,45000.0,45000.0,45000.0,0.0,45000.0,45000.0,45000.0,"","Nokia warehouse - M","","","",1.0,1.0,0.0,0,"","","","","","","","","","","","","","","","","","","","","",""
"","""PO-BB-00087""","PO-BB-","Slot buy back program","2015-02-27","Matrix","NGN",1.0,"Submitted","2015","Slot buy back program","BBR00112","Nokia warehouse - M","123456784566777","yellow","","","Standard Buying","NGN",1.0,0,45000.0,45000.0,"",0.0,0.0,0.0,45000.0,"NGN Forty-Five Thousand only.",45000.0,"",0.0,0.0,45000.0,"NGN Forty-Five Thousand only.","","","","","No","","",100.0,"",0,"Monthly","","","","","","","","","""POD/00104""","Black Berry","Black Berry","2015-02-27","Black Berry",1.0,"Nos","Nos",1.0,45000.0,45000.0,45000.0,0.0,45000.0,45000.0,45000.0,"","Nokia warehouse - M","","","",1.0,1.0,0.0,0,"","","","","","","","","","","","","","","","","","","","","",""
"","""PO-BB-00088""","PO-BB-","Slot buy back program","2015-02-27","Matrix","NGN",1.0,"Submitted","2015","Slot buy back program","BBR00113","Nokia warehouse - M","","","","","Standard Buying","NGN",1.0,0,16685.0,16685.0,"",0.0,0.0,0.0,16685.0,"NGN Sixteen Thousand, Six Hundred Eighty-Five only.",16685.0,"",0.0,0.0,16685.0,"NGN Sixteen Thousand, Six Hundred Eighty-Five only.","","","","","No","","",100.0,"",0,"Monthly","","","","","","","","","""POD/00105""","Galaxy Grand","Galaxy Grand","2015-02-27","Galaxy Grand",1.0,"Nos","Nos",1.0,16685.0,16685.0,16685.0,0.0,16685.0,16685.0,16685.0,"","Nokia warehouse - M","","","",1.0,1.0,0.0,0,"","","","","","","","","","","","","","","","","","","","","",""
"","""PO-BB-00091""","PO-BB-","Slot buy back program","2015-02-27","Matrix","NGN",1.0,"Submitted","2015","Slot buy back program","BBR00116","Nokia warehouse - M","","","","","Standard Buying","NGN",1.0,0,2000.0,2000.0,"",0.0,0.0,0.0,2000.0,"NGN Two Thousand only.",2000.0,"",0.0,0.0,2000.0,"NGN Two Thousand only.","","","","","No","","",100.0,"",0,"Monthly","","","","","","","","","""POD/00108""","Nokia","Nokia","2015-02-27","Nokia",1.0,"Nos","Nos",1.0,2000.0,2000.0,2000.0,0.0,2000.0,2000.0,2000.0,"","Nokia warehouse - M","","","",1.0,1.0,0.0,0,"","","","","","","","","","","","","","","","","","","","","",""
